ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	Concentration	IntensityRating	Jar	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	10	393	11	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	0	0	1	1	1	1	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	1	384	2	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	1	NULL	NULL	NULL	?	0	0	1	1	2	2	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	9	381	8	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	2	NULL	NULL	NULL	?	0	0	1	1	3	3	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	0	574	3	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	3	NULL	NULL	NULL	?	0	0	1	1	4	4	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	1	544	2	ExperimentProc	Please rate the intensity of the odor	TestList	2	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	5	5	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	.1	565	1	ExperimentProc	Please rate the intensity of the odor	TestList	1	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	6	6	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	0	569	3	ExperimentProc	Please rate the intensity of the odor	TestList	3	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	7	7	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	12	484	5	ExperimentProc	Please rate the intensity of the odor	TestList	5	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	8	8	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	5	.6	546	4	ExperimentProc	Please rate the intensity of the odor	TestList	4	1	5	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	9	9	PrepareProc	Prepare
TMA_DR_jars	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">21763041135815</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-21T14:43:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-3-1	60.321	1.0.0.2411	1	442048846	2.0.10.242	2.0.10.242	07-21-2017	7/21/2017 2:43:36 PM	10:43:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	6	.3	546	10	ExperimentProc	Please rate the intensity of the odor	TestList	10	1	6	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	10	10	PrepareProc	Prepare
