ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	IntensityRating	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	479	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	18		1	1	1	1	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	488	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	1	NULL	NULL	NULL	?	31		1	1	2	2	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	533	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	2	NULL	NULL	NULL	?	2		1	1	3	3	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	551	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	3	NULL	NULL	NULL	?	5		1	1	4	4	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	547	ExperimentProc	Please rate the intensity of the odor	TestList	12	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	2		1	1	5	5	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	467	ExperimentProc	Please rate the intensity of the odor	TestList	13	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	26		1	1	6	6	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	489	ExperimentProc	Please rate the intensity of the odor	TestList	1	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	3		1	1	7	7	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	297	ExperimentProc	Please rate the intensity of the odor	TestList	9	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	32		1	1	8	8	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	5	552	ExperimentProc	Please rate the intensity of the odor	TestList	6	1	5	NULL	NULL	NULL	NULL	NULL	NULL	?	8		1	1	9	9	PrepareProc	Prepare
TMA_PH	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">34166126634276</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-09-05T15:44:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_PH-4-1	60.321	1.0.0.2403	1	-338004673	2.0.10.242	2.0.10.242	09-05-2017	9/5/2017 3:44:40 PM	11:44:40	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	6	385	ExperimentProc	Please rate the intensity of the odor	TestList	10	1	6	NULL	NULL	NULL	NULL	NULL	NULL	?	28		1	1	10	10	PrepareProc	Prepare
