ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	IntensityRating	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	447	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	19	22	1	1	1	1	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	552	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	4	1	1	NULL	NULL	NULL	?	23	24	1	1	2	2	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	539	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	2	NULL	NULL	NULL	?	13	2	1	1	3	3	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	548	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	3	NULL	NULL	NULL	?	19	22	1	1	4	4	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	5	567	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	5	1	4	NULL	NULL	NULL	?	2	22	1	1	5	5	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	6	528	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	5	NULL	NULL	NULL	?	6	24	1	1	6	6	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	423	ExperimentProc	Please rate the intensity of the odor	TestList	39	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	11	17	1	1	7	7	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	420	ExperimentProc	Please rate the intensity of the odor	TestList	40	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	10	16	1	1	8	8	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	552	ExperimentProc	Please rate the intensity of the odor	TestList	14	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	25	22	1	1	9	9	PrepareProc	Prepare
TMABlocker_supraStyle	8	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">9678366629482</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-06T18:04:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-8-1	60.321	1.0.0.2372	1	1805512271	2.0.10.242	2.0.10.242	06-06-2017	6/6/2017 6:04:36 PM	14:04:36	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	560	ExperimentProc	Please rate the intensity of the odor	TestList	36	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	14	20	1	1	10	10	PrepareProc	Prepare
