ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	IntensityRating	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	413	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	19	22	1	1	1	1	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	391	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	1	NULL	NULL	NULL	?	13	2	1	1	2	2	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	496	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	5	1	2	NULL	NULL	NULL	?	2	22	1	1	3	3	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	422	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	3	NULL	NULL	NULL	?	6	24	1	1	4	4	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	5	516	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	4	1	4	NULL	NULL	NULL	?	23	24	1	1	5	5	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	6	493	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	5	NULL	NULL	NULL	?	19	22	1	1	6	6	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	532	ExperimentProc	Please rate the intensity of the odor	TestList	3	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	2	24	1	1	7	7	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	490	ExperimentProc	Please rate the intensity of the odor	TestList	39	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	11	17	1	1	8	8	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	362	ExperimentProc	Please rate the intensity of the odor	TestList	10	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	3	23	1	1	9	9	PrepareProc	Prepare
TMABlocker_supraStyle	3	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8073530208321</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T19:05:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-3-1	60.321	1.0.0.2369	1	-1008106757	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 7:05:57 PM	15:05:57	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	393	ExperimentProc	Please rate the intensity of the odor	TestList	40	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	10	16	1	1	10	10	PrepareProc	Prepare
